,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
476,Crysencio Summerville,nl NED,MFFW,Leeds United,19,2001,1.4,2,1.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,df04eb4b
477,Jakob Sørensen,dk DEN,MFDF,Norwich City,23,1998,6.7,2,0.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches,953c30b0
478,Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,8.2,3,0.37,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,e9971f2d
479,Matt Targett,eng ENG,DF,Aston Villa,25,1995,15.9,27,1.7,22,5,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,e514ab62
480,Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16,34,2.12,15,14,0,1,4,0,1,0.06,0,1,0,0,0,0,Matches,e514ab62
481,James Tarkowski,eng ENG,DF,Burnley,28,1992,34.5,23,0.67,20,0,0,2,0,1,2,0.06,2,0,0,0,0,0,Matches,15ea812b
482,Nuno Tavares,pt POR,DF,Arsenal,21,2000,13.1,26,1.99,18,0,3,1,2,2,3,0.23,2,0,0,1,0,0,Matches,a65c844b
483,Charlie Taylor,eng ENG,DF,Burnley,27,1993,30.3,41,1.35,32,2,1,0,6,0,6,0.2,4,1,0,0,1,0,Matches,cc2d7ad5
484,Nathan Tella,eng ENG,MFFW,Southampton,22,1999,8.9,18,2.01,12,0,2,0,4,0,3,0.34,2,0,0,0,1,0,Matches,f1e94cd6
485,Alex Telles,br BRA,DF,Manchester Utd,28,1992,18.4,45,2.44,24,18,0,1,1,1,5,0.27,0,4,0,0,1,0,Matches,e73c9bb2
486,Luke Thomas,eng ENG,DF,Leicester City,20,2001,21.2,20,0.94,14,4,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches,fc027d02
487,Dominic Thompson,eng ENG,DF,Brentford,21,2000,1.6,1,0.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,235a62f8
488,Youri Tielemans,be BEL,MF,Leicester City,24,1997,29.2,84,2.87,65,4,4,4,2,5,12,0.41,10,0,0,1,0,1,Matches,56f7a928
489,Kieran Tierney,sct SCO,DF,Arsenal,24,1997,21.3,38,1.79,33,2,1,1,1,0,3,0.14,3,0,0,0,0,0,Matches,fce2302c
490,Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,18.7,30,1.61,25,1,0,0,0,4,4,0.21,3,0,0,0,0,1,Matches,b3af9be1
491,James Tomkins,eng ENG,DF,Crystal Palace,32,1989,6.1,3,0.49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e7ca0439
492,Ivan Toney,eng ENG,FW,Brentford,25,1996,32.3,80,2.48,53,1,4,9,11,2,10,0.31,6,0,1,0,3,0,Matches,e09f279b
493,Ferrán Torres,es ESP,FW,Manchester City,21,2000,3.4,5,1.49,4,0,0,1,0,0,2,0.59,2,0,0,0,0,0,Matches,9e1035f8
494,Cenk Tosun,tr TUR,FW,Everton,30,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9a104dee
495,Andros Townsend,eng ENG,MF,Everton,30,1991,16.2,54,3.34,38,8,1,2,4,1,4,0.25,4,0,0,0,0,0,Matches,b28bbd58
496,Adama Traoré,es ESP,FW,Wolves,25,1996,11.9,50,4.22,30,0,12,0,6,2,2,0.17,1,0,0,0,1,0,Matches,9a28eba4
497,Bertrand Traoré,bf BFA,MFFW,Aston Villa,25,1995,2.4,11,4.5,6,0,3,1,1,0,2,0.82,0,0,1,0,1,0,Matches,c47541e0
498,Trézéguet,eg EGY,FW,Aston Villa,26,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3ae14ed1
499,Francisco Trincão,pt POR,FWMF,Wolves,21,1999,14.8,39,2.63,24,3,9,0,2,1,2,0.13,2,0,0,0,0,0,Matches,77e39b04
500,Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,4.8,9,1.89,1,8,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches,21512407
501,William Troost-Ekong,ng NGA,DF,Watford,27,1993,15.4,4,0.26,3,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches,7ed4921e
502,Leandro Trossard,be BEL,FWMF,Brighton,26,1994,31.2,91,2.92,65,4,15,4,3,0,10,0.32,6,1,2,0,1,0,Matches,38ceb24a
503,Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,9.7,37,3.8,24,13,0,0,0,0,3,0.31,2,1,0,0,0,0,Matches,f315ca93
504,Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,5.6,1,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2baec6ce
505,Ozan Tufan,tr TUR,MF,Watford,26,1995,3.7,7,1.89,6,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,17d45fb2
506,Christos Tzolis,gr GRE,FWMF,Norwich City,19,2002,3.7,11,2.95,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9f333379
507,Yan Valery,fr FRA,DF,Southampton,22,1999,4.1,1,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,531a4aa8
508,Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,20.3,10,0.49,9,0,0,0,0,1,2,0.1,2,0,0,0,0,0,Matches,9f8e9423
509,Jamie Vardy,eng ENG,FW,Leicester City,34,1987,20.1,38,1.89,30,0,2,3,1,2,5,0.25,2,0,2,1,0,0,Matches,45963054
